feature,IG-value
Pos.36,0.109
Pos.37,0.049
Pos.35,0.016
Pos.26,0.015
Pos.48,0.015
Pos.6,0.013
Pos.24,0.013
Pos.33,0.013
Pos.30,0.013
Pos.12,0.013
Pos.29,0.012
Pos.52,0.011
Pos.60,0.011
Pos.13,0.011
Pos.27,0.010
Pos.2,0.010
Pos.50,0.010
Pos.28,0.009
Pos.61,0.009
Pos.23,0.009
Pos.51,0.009
Pos.16,0.009
Pos.38,0.008
Pos.11,0.008
Pos.19,0.008
Pos.39,0.008
Pos.15,0.008
Pos.58,0.008
Pos.21,0.008
Pos.1,0.008
Pos.34,0.008
Pos.59,0.007
Pos.18,0.007
Pos.47,0.007
Pos.44,0.007
Pos.25,0.007
Pos.46,0.007
Pos.53,0.007
Pos.43,0.007
Pos.42,0.007
Pos.55,0.006
Pos.41,0.006
Pos.17,0.006
Pos.8,0.006
Pos.4,0.006
Pos.63,0.005
Pos.9,0.005
Pos.5,0.005
Pos.10,0.005
Pos.3,0.005
Pos.49,0.005
Pos.40,0.005
Pos.62,0.005
Pos.54,0.005
Pos.20,0.004
Pos.57,0.004
Pos.22,0.003
Pos.45,0.003
Pos.56,0.003
Pos.7,0.002
Pos.14,0.002
Pos.32,0.000
Pos.31,0.000
