feature,IG-value
Pos.47,0.013
Pos.37,0.010
Pos.45,0.009
Pos.78,0.008
Pos.46,0.006
Pos.50,0.006
Pos.4,0.006
Pos.24,0.005
Pos.55,0.005
Pos.48,0.005
Pos.40,0.004
Pos.33,0.004
Pos.35,0.004
Pos.23,0.004
Pos.32,0.004
Pos.56,0.003
Pos.77,0.003
Pos.49,0.003
Pos.71,0.003
Pos.3,0.003
Pos.69,0.003
Pos.20,0.003
Pos.26,0.003
Pos.70,0.002
Pos.5,0.002
Pos.72,0.002
Pos.25,0.002
Pos.75,0.002
Pos.39,0.002
Pos.66,0.002
Pos.73,0.002
Pos.30,0.001
Pos.61,0.001
Pos.76,0.001
Pos.6,0.001
Pos.74,0.001
Pos.17,0.001
Pos.51,0.001
Pos.14,0.001
Pos.82,0.001
Pos.11,0.001
Pos.7,0.001
Pos.68,0.001
Pos.57,0.001
Pos.79,0.001
Pos.59,0.001
Pos.63,0.001
Pos.53,0.000
Pos.22,0.000
Pos.1,0.000
Pos.65,0.000
Pos.81,0.000
Pos.13,0.000
Pos.31,0.000
Pos.54,0.000
Pos.83,0.000
Pos.34,0.000
Pos.18,0.000
Pos.10,0.000
Pos.38,0.000
Pos.36,0.000
Pos.15,0.000
Pos.8,0.000
Pos.12,0.000
Pos.62,0.000
Pos.19,0.000
Pos.64,0.000
Pos.21,0.000
Pos.2,0.000
Pos.67,0.000
Pos.9,0.000
Pos.28,0.000
Pos.52,0.000
Pos.29,0.000
Pos.58,0.000
Pos.84,0.000
Pos.27,0.000
Pos.60,0.000
Pos.16,0.000
Pos.42,0.000
Pos.41,0.000
Pos.43,0.000
Pos.80,0.000
Pos.44,0.000
